pseudo_id,account_active_days,koen,permission_given_order,previous_subscriptions,previous_campaigns,previous_trials,newsletters_before_order,newsletters_after_order,churn,continued_subscription,early_churn,age,kundetid_gruppe,utm_content,utm_medium,utm_source,antal_sidevisninger,antal_dage_aktiv,andel_restricted,avg_scroll_depth,andel_mobil,andel_social,andel_email,andel_search,laesedage_spredning,andel_weekend,andel_morgen,andel_aften,andel_ios,andel_android,andel_windows,andel_sport,andel_politik,andel_oekonomi,andel_kultur,cluster_label,n_visits,avg_scroll,share_mobile,share_desktop,share_restricted,share_search,share_internal,n_unique_pages
0ff1fb912827dd493780434b9f5fe90c,60,Mand,0,0,0,0,0,0,1,0,0,76,8-30 dage,A,content,jp.dk,193,31,0.21243523316062177,0.18264248704663213,0,0,0,0,30,0,0.3626943005181347,0.08290155440414508,0,0,1,0.0051813471502590676,0.02072538860103627,0.015544041450777202,0.03626943005181347,Desktop-traditionalisten,193,0.18264248704663213,0,1,0.21243523316062177,0,0.35751295336787564,193
dd17b70b375e73e19d04201f4fe37788,60,Mand,1,14,8,3,16,16,1,0,0,77,6+ måneder,B,content,jp.dk,166,22,0.46987951807228917,0.7650602409638554,0.4819277108433735,0.006024096385542169,0,0,30,0,0.060240963855421686,0.4819277108433735,0.4819277108433735,0,0.5180722891566265,0.03614457831325301,0.05421686746987952,0.09036144578313253,0.0783132530120482,Veteranen (Høj historik),166,0.7650602409638554,0.4819277108433735,0.5180722891566265,0.46987951807228917,0,0.4879518072289157,165
26055449e1b6f5750213a8cd2f9c1590,60,Kvinde,0,0,0,0,0,0,0,1,0,24,0-7 dage,Andet,Matrice,jp.dk,9,4,0.3333333333333333,0.6666666666666666,0,0.1111111111111111,0,0.6666666666666666,21,0,0,0,0,0,0,0,0,0,0,Desktop-traditionalisten,9,0.6666666666666666,0,1,0.3333333333333333,0.6666666666666666,0,9
d9131a70d86f30eae6d2e6bd57a76230,60,Mand,0,0,0,0,0,0,0,1,0,58,6+ måneder,A,content,jp.dk,268,28,0.291044776119403,0.32649253731343286,0,0.029850746268656716,0,0,29,0,0.07462686567164178,0.2947761194029851,0.7425373134328358,0,0.2574626865671642,0.007462686567164179,0.022388059701492536,0.05223880597014925,0.007462686567164179,Desktop-traditionalisten,268,0.32649253731343286,0,0.2574626865671642,0.291044776119403,0,0.5111940298507462,268
bb268a1296993a658fa958dcce6ce723,60,Kvinde,0,0,0,0,0,0,0,1,1,80,6+ måneder,Andet,mail,mail,173,26,0.35260115606936415,0.2774566473988439,1,0,0,0.24855491329479767,29,0,0.06358381502890173,0.12138728323699421,0,1,0,0,0.046242774566473986,0.028901734104046242,0.017341040462427744,Mobil-nykommeren,173,0.2774566473988439,1,0,0.35260115606936415,0.24855491329479767,0.7225433526011561,173
c87f05ad95f5f762ee2991ac45685fac,60,Mand,0,22,8,10,4,4,1,0,0,77,6+ måneder,Andet,Matrice,jp.dk,300,31,0.30333333333333334,0.3775,0.05333333333333334,0,0,0.02,30,0,0.25,0.27666666666666667,0.05333333333333334,0,0,0.016666666666666666,0.03333333333333333,0.06666666666666667,0.01,Veteranen (Høj historik),300,0.3775,0.05333333333333334,0.9466666666666667,0.30333333333333334,0.02,0.5633333333333334,300
8be83d73b038d09aead452870daaac86,60,Mand,1,0,0,0,0,0,0,1,0,57,0-7 dage,B,content,jp.dk,159,22,0.2893081761006289,0.3223270440251572,0.05660377358490566,0.006289308176100629,0,0,29,0,0.4339622641509434,0.1949685534591195,0.05660377358490566,0,0.9433962264150944,0,0.012578616352201259,0.08176100628930817,0.031446540880503145,Desktop-traditionalisten,159,0.3223270440251572,0.05660377358490566,0.9433962264150944,0.2893081761006289,0,0.46540880503144655,159
ac5c578c40656689a251c866ba3d6f98,60,Mand,1,2,2,2,0,0,1,0,0,65,6+ måneder,Andet,mail,mail,186,26,0.3010752688172043,0.33602150537634407,1,0,0,0.46236559139784944,30,0,0.1935483870967742,0.20430107526881722,0,1,0,0.06989247311827956,0.005376344086021506,0.043010752688172046,0.053763440860215055,Mobil-nykommeren,186,0.33602150537634407,1,0,0.3010752688172043,0.46236559139784944,0.521505376344086,186
cd89e049f0b16fa28499c3a1ab5e15f5,60,Mand,0,0,0,0,3,4,0,1,0,81,6+ måneder,Andet,email,jp,49,8,0.5714285714285714,0.8214285714285714,0,0,0,0,30,0,0.9591836734693877,0,0,0,1,0,0,0.10204081632653061,0.02040816326530612,Desktop-traditionalisten,49,0.8214285714285714,0,1,0.5714285714285714,0,0.6326530612244898,49
3779c328bc5efb7d0f9f77bc895122e4,60,Mand,1,2,2,0,1,1,1,0,0,67,6+ måneder,B,content,jp.dk,46,15,0.391304347826087,0.4891304347826087,0,0,0,0.32608695652173914,30,0,0.41304347826086957,0.5,0,0,0,0.08695652173913043,0.021739130434782608,0.021739130434782608,0.021739130434782608,Desktop-traditionalisten,46,0.4891304347826087,0,1,0.391304347826087,0.32608695652173914,0.2826086956521739,46
8da2e4c70ab7969f71c228ca4d5213d9,60,Mand,0,0,0,0,0,0,0,1,0,63,0-7 dage,Andet,mail,mail,561,31,0.25668449197860965,0.2339572192513369,0.7361853832442068,0,0,0,30,0,0.23707664884135474,0.13368983957219252,0.7361853832442068,0,0.2638146167557932,0.0053475935828877,0.0196078431372549,0.058823529411764705,0.026737967914438502,Power-brugeren (Mest mobil),561,0.2339572192513369,0.7361853832442068,0.2638146167557932,0.25668449197860965,0,0.45454545454545453,561
1c970787962b3364c125d8dc4f6f9b48,60,Mand,1,17,9,5,0,0,1,0,0,44,6+ måneder,A,content,jp.dk,118,10,0.2711864406779661,0.2796610169491525,0.01694915254237288,0,0,0,27,0,0.3813559322033898,0.3983050847457627,0.01694915254237288,0,0.1016949152542373,0.01694915254237288,0.0423728813559322,0.0423728813559322,0.025423728813559324,Veteranen (Høj historik),118,0.2796610169491525,0.01694915254237288,0.9830508474576272,0.2711864406779661,0,0.5847457627118644,118
aab906f1e94c3d75a4aad601d00431f1,60,Ikke oplyst,1,16,7,9,0,0,1,0,0,77,6+ måneder,Andet,mail,mail,4,2,0.25,0.0625,0.25,0,0,0,2,0,0.25,0,0,0.25,0.75,0,0,0.25,0,Veteranen (Høj historik),4,0.0625,0.25,0.75,0.25,0,0.5,4
d930f746a880de29aae6ce810b11f5da,60,Mand,1,2,1,0,9,9,0,1,0,80,6+ måneder,Andet,mail,mail,8,7,0.25,0.375,1,0,0,0,13,0,0.375,0,1,0,0,0,0,0,0,Mobil-nykommeren,8,0.375,1,0,0.25,0,0.125,8
dbc43769b3fb6804d1b1992e6491bf3d,60,Mand,0,4,4,0,0,0,0,1,0,68,6+ måneder,A,content,jp.dk,471,31,0.1592356687898089,0.24734607218683652,0.9256900212314225,0,0,0.0021231422505307855,30,0,0.055201698513800426,0.3057324840764331,0,0.9256900212314225,0.07430997876857749,0.004246284501061571,0.008492569002123142,0.055201698513800426,0.008492569002123142,Power-brugeren (Mest mobil),471,0.24734607218683652,0.9256900212314225,0.07430997876857749,0.1592356687898089,0.0021231422505307855,0.3354564755838641,471
